Anon Student Id	Session Id	Time	Time Zone	Student Response Type	Student Response Subtype	Tutor Response Type	Tutor Response Subtype	Level (Default)	Problem Name	Problem View	Step Name	Attempt At Step	Outcome	Selection	Action	Input	Feedback Text	Feedback Classification	Help Level	Total Num Hints	Condition Name	Condition Type	KC (Default)	KC Category (Default)	School	Class	CF(Study)	CF(Course)	CF(Section)	CF(Subsection)	CF(Unit)	CF(UserRuntimeId)	CF(StudentPastelId)	CF(VideoURL)	CF(VideoPosition)	CF(UnitId)	CF(Action)	CF(Result)	CF(Question)	CF(Choices)
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:31:21	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	N/A	0	N/A	N/A	UNGRADED	N/A	N/A	N/A	N/A	N/A			Condition_1	N/A	N/A	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Motion	Motion	136	AGNUK	N/A	N/A	09d66db2dd1b44cead0ab1c258af3aa9	page loaded	N/A	N/A	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:31:21	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	N/A	0	N/A	N/A	UNGRADED	N/A	N/A	N/A	N/A	N/A			Condition_1	N/A	N/A	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Motion	Motion	136	AGNUK	N/A	N/A	09d66db2dd1b44cead0ab1c258af3aa9	unit filled	N/A	N/A	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:33:25	US/Central	HINT_REQUEST	N/A	HINT_MSG	N/A	N/A	motion-checkpoint-1	0	N/A	0	HINT				Reread the information in the 2nd paragraph under the heading, “Motion Defined”.	N/A	0	3	Condition_1	N/A	motion	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Motion	Motion	136	AGNUK	N/A	N/A	09d66db2dd1b44cead0ab1c258af3aa9	textbox get hint	N/A	To review, motion is the change in the (1)__________ of an object over (2)_________ . <br/><br/> Answer for (1):	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:34:19	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	motion-checkpoint-1	1	N/A	1	INCORRECT	userAnswer	value entered	LENGTH	Reread the information in the 2nd paragraph under the heading, “Motion Defined”.	N/A	1	3	Condition_1	N/A	motion	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Motion	Motion	136	AGNUK	N/A	N/A	09d66db2dd1b44cead0ab1c258af3aa9	textbox get answer	N/A	To review, motion is the change in the (1)__________ of an object over (2)_________ . <br/><br/> Answer for (1):	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:35:12	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	motion-checkpoint-1	2	N/A	2	INCORRECT	userAnswer	value entered	DISTANCE	Reread the information in the 2nd paragraph under the heading, “Motion Defined”.	N/A	1	3	Condition_1	N/A	motion	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Motion	Motion	136	AGNUK	N/A	N/A	09d66db2dd1b44cead0ab1c258af3aa9	textbox get answer	N/A	To review, motion is the change in the (1)__________ of an object over (2)_________ . <br/><br/> Answer for (1):	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:35:28	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	motion-checkpoint-1	3	N/A	3	INCORRECT	userAnswer	value entered	direction	Reread the information in the 2nd paragraph under the heading, “Motion Defined”.	N/A	1	3	Condition_1	N/A	motion	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Motion	Motion	136	AGNUK	N/A	N/A	09d66db2dd1b44cead0ab1c258af3aa9	textbox get answer	N/A	To review, motion is the change in the (1)__________ of an object over (2)_________ . <br/><br/> Answer for (1):	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:35:58	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	motion-checkpoint-1	4	N/A	4	INCORRECT	userAnswer	value entered	object	Reread the information in the 2nd paragraph under the heading, “Motion Defined”.	N/A	1	3	Condition_1	N/A	motion	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Motion	Motion	136	AGNUK	N/A	N/A	09d66db2dd1b44cead0ab1c258af3aa9	textbox get answer	N/A	To review, motion is the change in the (1)__________ of an object over (2)_________ . <br/><br/> Answer for (1):	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:36:14	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	motion-checkpoint-1	5	N/A	5	INCORRECT	userAnswer	value entered	distance	Reread the information in the 2nd paragraph under the heading, “Motion Defined”.	N/A	1	3	Condition_1	N/A	motion	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Motion	Motion	136	AGNUK	N/A	N/A	09d66db2dd1b44cead0ab1c258af3aa9	textbox get answer	N/A	To review, motion is the change in the (1)__________ of an object over (2)_________ . <br/><br/> Answer for (1):	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:36:17	US/Central	HINT_REQUEST	N/A	HINT_MSG	N/A	N/A	motion-checkpoint-1	5	N/A	5	HINT				When something is in motion it is not longer in the same location as it was before.  It must change it’s...	N/A	1	3	Condition_1	N/A	motion	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Motion	Motion	136	AGNUK	N/A	N/A	09d66db2dd1b44cead0ab1c258af3aa9	textbox get hint	N/A	To review, motion is the change in the (1)__________ of an object over (2)_________ . <br/><br/> Answer for (1):	N/A
1bab2e0ab6b5e44df60024a7f43ffdfe	136-3a64b4d8-20180210133121	2018-02-10 13:36:34	US/Central	ATTEMPT	N/A	RESULT	N/A	N/A	motion-checkpoint-1	6	N/A	6	INCORRECT	userAnswer	value entered	distance	When something is in motion it is not longer in the same location as it was before.  It must change it’s...	N/A	2	3	Condition_1	N/A	motion	N/A	TAMU	IEC-LAB	2017_Spring_Study	course-v1:University+CS101+2015_T1	Motion and Speed	Motion	Motion	136	AGNUK	N/A	N/A	09d66db2dd1b44cead0ab1c258af3aa9	textbox get answer	N/A	To review, motion is the change in the (1)__________ of an object over (2)_________ . <br/><br/> Answer for (1):	N/A
